timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710747888898,140,Login,200,,Thread-Gruppe 1-1,text,true,,10669,1021,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,111,0,29
1710747888898,113,Login-0,302,,Thread-Gruppe 1-1,,true,,802,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,111,0,29
1710747889017,21,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,745,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,20,0,0
1710747889042,12,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1583,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,4,0,0
1710747889042,4,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,847,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,4,0,0
1710747889047,7,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,7,0,0
1710747889056,19,Login,200,,Thread-Gruppe 1-1,text,true,,10671,1023,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,10,0,0
1710747889056,10,Login-0,302,,Thread-Gruppe 1-1,,true,,804,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,10,0,0
1710747889067,8,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,747,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,8,0,0
1710747889076,9,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1585,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,3,0,0
1710747889076,3,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,849,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,3,0,0
1710747889080,5,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,5,0,0
1710747889085,18,Login,200,,Thread-Gruppe 1-1,text,true,,10671,1023,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,12,0,0
1710747889085,12,Login-0,302,,Thread-Gruppe 1-1,,true,,804,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,12,0,0
1710747889097,6,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,747,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,6,0,0
1710747889104,11,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1585,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,3,0,0
1710747889104,3,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,849,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,3,0,0
1710747889107,8,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,8,0,0
1710747889116,22,Login,200,,Thread-Gruppe 1-1,text,true,,10670,1022,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,11,0,0
1710747889116,11,Login-0,302,,Thread-Gruppe 1-1,,true,,803,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,11,0,0
1710747889128,10,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,746,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,10,0,0
1710747889139,18,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1584,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,10,0,0
1710747889139,10,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,848,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,10,0,0
1710747889150,7,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,7,0,0
1710747889159,17,Login,200,,Thread-Gruppe 1-1,text,true,,10670,1022,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,11,0,0
1710747889159,11,Login-0,302,,Thread-Gruppe 1-1,,true,,803,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,11,0,0
1710747889170,6,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,746,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,6,0,0
1710747889177,16,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1584,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,6,0,0
1710747889177,6,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,848,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,6,0,0
1710747889183,10,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,9,0,0
1710747889193,25,Login,200,,Thread-Gruppe 1-1,text,true,,10670,1022,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,11,0,0
1710747889193,11,Login-0,302,,Thread-Gruppe 1-1,,true,,803,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,11,0,0
1710747889206,12,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,746,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,11,0,0
1710747889219,9,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1584,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,3,0,0
1710747889219,3,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,848,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,3,0,0
1710747889223,5,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,5,0,0
1710747889229,32,Login,200,,Thread-Gruppe 1-1,text,true,,10670,1022,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,24,0,0
1710747889229,24,Login-0,302,,Thread-Gruppe 1-1,,true,,803,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,24,0,0
1710747889254,7,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,746,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,7,0,0
1710747889262,14,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1584,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,2,0,0
1710747889262,2,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,848,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,2,0,0
1710747889271,5,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,5,0,0
1710747889277,30,Login,200,,Thread-Gruppe 1-1,text,true,,10671,1023,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,13,0,0
1710747889277,13,Login-0,302,,Thread-Gruppe 1-1,,true,,804,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,13,0,0
1710747889290,17,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,747,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,17,0,0
1710747889308,21,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1585,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,8,0,0
1710747889308,8,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,849,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,8,0,0
1710747889316,13,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,13,0,0
1710747889330,31,Login,200,,Thread-Gruppe 1-1,text,true,,10670,1022,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,20,0,0
1710747889330,20,Login-0,302,,Thread-Gruppe 1-1,,true,,803,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,20,0,0
1710747889351,10,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,746,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,9,0,0
1710747889361,9,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1584,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,3,0,0
1710747889361,3,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,848,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,3,0,0
1710747889364,6,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,6,0,0
1710747889371,17,Login,200,,Thread-Gruppe 1-1,text,true,,10670,1022,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,11,0,0
1710747889371,11,Login-0,302,,Thread-Gruppe 1-1,,true,,803,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,11,0,0
1710747889382,6,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,746,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,5,0,0
1710747889389,11,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1584,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,3,0,0
1710747889389,3,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,848,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,3,0,0
1710747889393,7,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,7,0,0
1710747889404,168,Login,200,,Thread-Gruppe 1-1,text,true,,10670,1022,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,159,0,0
1710747889404,159,Login-0,302,,Thread-Gruppe 1-1,,true,,803,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,159,0,0
1710747889564,8,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,746,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,7,0,0
1710747889573,19,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1584,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,10,0,0
1710747889573,10,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,848,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,10,0,0
1710747889584,8,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,8,0,0
1710747889593,18,Login,200,,Thread-Gruppe 1-1,text,true,,10670,1022,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,11,0,0
1710747889593,11,Login-0,302,,Thread-Gruppe 1-1,,true,,803,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,11,0,0
1710747889605,6,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,746,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,6,0,0
1710747889611,8,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1584,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,3,0,0
1710747889611,3,Logout-0,302,,Thread-Gruppe 1-1,,true,,1392,848,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,3,0,0
1710747889614,5,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9653,736,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,5,0,0
1710747889620,83,Login,200,,Thread-Gruppe 1-1,text,true,,10671,1023,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,10,0,0
1710747889620,10,Login-0,302,,Thread-Gruppe 1-1,,true,,804,276,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/loginAction,10,0,0
1710747889630,73,Login-1,200,,Thread-Gruppe 1-1,text,true,,9867,747,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,73,0,0
1710747889704,10,Logout,200,,Thread-Gruppe 1-1,text,true,,11045,1585,1,1,http://127.0.0.1:8080/tools.descartes.teastore.webui/,3,0,0
